Release Date,Filming Locations,original_index,unique_index
2016 (USA),"New York City, New York, USA",3416,3370
26 April 2015 (USA),,3417,3371
28 August 2015 (USA),"Crestview Minimax IGA, 7108 Woodrow Ave., Austin, Texas, USA",3418,3372
31 May 1985 (USA),"LAX Airport, Los Angeles, California, USA",3419,3373
17 March 1989 (USA),"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",3420,3374
12 February 2016 (USA),"Vancouver, British Columbia, Canada",3421,3375
8 October 2015 (Netherlands),"North Carolina, USA",3422,3376
21 June 1974 (USA),"Hollywood, Los Angeles, California, USA",3423,3377
9 March 2012 (USA),"Los Angeles, California, USA",3424,3378
23 November 1929 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",3425,3379
13 February 2015 (USA),"Louisiana, USA",3426,3380
March 2016 (USA),"Pullman Kitchen - 205 5th Street, Santa Rosa, California, USA",3427,3381
12 February 2016 (USA),Spain,3428,3382
5 January 1919 (USA),"Ralph Waldo Emerson Home - 28 Cambridge Turnpike, Concord, Massachusetts, USA",3429,3383
,"Vancouver, British Columbia, Canada",3430,3384
9 January 2009 (USA),"Boston, Massachusetts, USA",3431,3385
9 May 2008 (USA),"Foot of Flatbush ave. on the East river, Downtown Brooklyn, New Ork, USA",3432,3386
4 June 2010 (USA),"Atlanta, Georgia, USA",3433,3387
17 April 2009 (USA),"Los Angeles, California, USA",3434,3388
8 October 2010 (USA),"Turner Broadcasting System, Inc. - 1050 Techwood Drive, Atlanta, Georgia, USA",3435,3389
23 April 2004 (USA),"Spring Street Towers - 650 S. Spring Street, Downtown, Los Angeles, California, USA",3436,3390
24 November 2010 (USA),"Pennsylvania, USA",3437,3391
21 January 2011 (USA),"2218 S Harvard Blvd, Los Angeles, California, USA",3438,3392
2016 (USA),,3439,457
15 April 2016 (USA),"Croydon, London, England, UK",3440,3393
2016 (USA),,3441,457
25 December 2010 (USA),"Ashridge Park, Little Gaddesden, Hertfordshire, England, UK",3442,3394
30 July 2010 (USA),"128 St & Old Yale Rd, Surrey, British Columbia, Canada",3443,3395
20 April 2012 (USA),"New Orleans, Louisiana, USA",3444,3396
7 August 2013 (USA),"420 Market Street, Wilmington, North Carolina, USA",3445,3397
30 April 2004 (USA),"Convocation Hall, University of Toronto, Toronto, Ontario, Canada",3446,3398
29 August 2014 (Bahamas),"Greenwich, Connecticut, USA",3447,3399
21 August 2015 (USA),"New York City, New York, USA",3448,3400
24 February 2012 (USA),"Atlanta, Georgia, USA",3449,3401
21 April 2006 (USA),"6300 Orion Ave, Van Nuys, Los Angeles, California, USA",3450,3402
23 January 2015 (USA),"Eagle Rock, California, USA",3451,3403
15 April 2005 (USA),"Mesa, Arizona, USA",3452,3404
2016 (USA),"Sudbury, Ontario, Canada",3453,3405
,"New York City, New York, USA",3454,3406
,"El Paso, Texas, USA",3455,3407
26 August 2011 (USA),,3456,3408
19 December 2014 (USA),"Colorado Street Bridge, Pasadena, California, USA",3457,3409
December 1960 (Austria),"Alcázar de Segovia, Segovia, Castilla y León, Spain",3458,3410
2009 (USA),"Greensboro, North Carolina, USA",3459,3411
12 October 2001 (Poland),"Kraków, Malopolskie, Poland",3460,3412
9 January 2015 (USA),"Asheville, North Carolina, USA",3461,3413
12 October 2012 (USA),,3462,133
,,3463,48
2016 (USA),,3464,457
7 November 2014 (USA),"Tampa, Florida, USA",3465,3414
2015 (USA),"Atlanta, Georgia, USA",3466,3415
6 December 2013 (Mexico),"Nuevo Laredo, Tamaulipas, Mexico",3467,3416
2015 (USA),"Las Vegas, Nevada, USA",3468,3417
9 June 2014 (USA),,3469,3418
5 December 1941 (USA),"Max Fleischer Studios Inc., Miami, Florida, USA",3470,3419
3 April 1942 (USA),"Hollywood Center Studios - 1040 N. Las Palmas Avenue, Hollywood, Los Angeles, California, USA",3471,3420
1 September 1978 (Denmark),"Charnock Richard, Wigan, Greater Manchester, England, UK",3472,3421
1 November 2015 (USA),,3473,3422
8 November 1946 (USA),"Railroad Creek, Washington, USA",3474,3423
17 August 2013 (USA),"Erie, Pennsylvania, USA",3475,3424
15 June 1961 (Mexico),"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",3476,3425
4 November 2016 (USA),,3477,3276
2015 (Spain),"Valencia, Comunidad Valenciana, Spain",3478,3426
2015 (USA),"Hawaii, USA",3479,3427
2015 (USA),"Medellín, Antioquia, Colombia",3480,3428
,,3481,48
,"Los Angeles, California, USA",3482,188
19 September 2014 (USA),"Charlotte, North Carolina, USA",3483,3429
6 July 1966 (France),"Vermont, USA",3484,3430
,"London, England, UK",3485,3431
7 July 2017 (USA),"Mackay, Queensland, Australia",3486,3432
2016 (USA),"Long Beach, California, USA",3487,3433
8 January 1965 (USA),"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",3488,3434
2015 (USA),,3489,1043
2016 (Faroe Islands),"Paris, France",3490,3435
10 January 1992 (USA),"2502 37th Ave W, Seattle, Washington, USA",3491,3436
14 August 1992 (USA),"Ansonia Hotel, New York City, New York, USA",3492,3437
4 August 1995 (USA),"Beaufort, South Carolina, USA",3493,3438
17 December 1993 (USA),"Spanish Plaza, New Orleans, Louisiana, USA",3494,3439
7 August 2009 (USA),"9-17 40th Ave, Queens, New York, USA",3495,3440
8 December 2006 (USA),"1883 Orlando Road, San Marino, California, USA",3496,3441
10 December 2004 (USA),"Postman's Park, Little Britain, London, England, UK",3497,3442
14 May 2010 (USA),"Pienza, Siena, Tuscany, Italy",3498,3443
27 August 2008 (USA),"West Mesa High School, 6701 Fortuna Road NW, Albuquerque, New Mexico, USA",3499,3444
18 December 1998 (USA),"210 Riverside Drive, Manhattan, New York City, New York, USA",3500,3445
13 April 2001 (USA),"Shepperton Studios, Shepperton, Surrey, England, UK",3501,3446
21 April 1995 (USA),"Lake Point Tower, 505 North Lake Shore Drive, Chicago, Illinois, USA",3502,3447
19 November 2004 (USA),"Aldbury, Hertfordshire, England, UK",3503,3448
14 February 2007 (USA),"201 West 72nd Street, Manhattan, New York City, New York, USA",3504,3449
14 February 2003 (USA),"Bay Ridge, Brooklyn, New York City, New York, USA",3505,3450
24 March 2005 (USA),"7 Lincoln Square, Manhattan, New York City, New York, USA",3506,3451
24 January 1992 (USA),"Agnes Scott College - 141 E. College Avenue, Decatur, Georgia, USA",3507,3452
13 January 1989 (USA),"Tavern on the Green - Central Park at W. 67th Street, Central Park, Manhattan, New York City, New York, USA",3508,3453
21 October 1988 (USA),"Connecticut, USA",3509,3454
19 December 1980 (USA),"Glendale, California, USA",3510,3455
16 May 1963 (USA),"Grand Teton National Park, Moose, Wyoming, USA",3511,3456
14 November 2003 (USA),"Aix-en-Provence, Bouches-du-Rhône, France",3512,3457
17 May 2002 (USA),"HMV Oxford Circus, Oxford Street, London, England, UK",3513,3458
30 June 2006 (USA),"Musée Galliera - 10 avenue Pierre-1er-de-Serbie, Paris 16, Paris, France",3514,3459
21 August 1987 (USA),"Appalachian region, Virginia, USA",3515,3460
12 February 2009 (Singapore),"Mumbai, Maharashtra, India",3516,3461
20 March 2009 (USA),"1 Electra Ct, Los Angeles, California, USA",3517,3462
"Jul 29, 2005 Wide","Los Angeles, California, USA",3518,3463
30 July 1999 (USA),"Adamstown Village Market - 5550 Mountville Road, Adamstown, Maryland, USA",3519,3464
5 October 2001 (USA),"Showline Studios, Toronto, Ontario, Canada",3520,3465
23 February 1996 (USA),"Bradford, West Yorkshire, England, UK",3521,3466
29 June 1994 (USA),"Baraboo, Wisconsin, USA",3522,3467
4 December 2015 (USA),"Surrey, England, UK",3523,3468
21 June 1961 (USA),"Santa Clarita, California, USA",3524,3469
7 August 1968 (USA),"Toluca Lake, Los Angeles, California, USA",3525,3470
28 March 1980 (USA),"Atlantic Highlands, New Jersey, USA",3526,3471
22 April 1983 (USA),"Gladstone, New Jersey, USA",3527,3472
14 October 2011 (UK),"Aunt Chiladas - 7330 North Dreamy Draw Drive, Phoenix, Arizona, USA",3528,3473
30 October 1987 (USA),"1049 Victoria Avenue, Los Angeles, California, USA",3529,3474
19 May 2011 (Germany),"Steiner Studios, New York City, New York, USA",3530,3475
3 November 1995 (USA),"Baltimore Museum of Art - 10 Art Museum Drive, Baltimore, Maryland, USA",3531,3476
1 November 1991 (USA),"Upham Hall Miami University, Oxford, Ohio, USA",3532,3477
January 1984 (USA),,3533,3478
22 May 1985 (USA),"Los Angeles, California, USA",3534,3479
17 January 1986 (USA),"Stabilimenti Cinematografici Pontini, Rome, Lazio, Italy",3535,3480
4 March 2016 (USA),"Burbank, California, USA",3536,3481
March 1988 (USA),"Los Angeles, California, USA",3537,3482
5 February 2016 (USA),"West Wycombe House, West Wycombe Park, West Wycombe, Buckinghamshire, England, UK",3538,3483
27 May 1994 (USA),"Santa Clarita, California, USA",3539,3484
30 August 1986 (USA),"Enontekiö, Finland",3540,3485
17 May 1991 (USA),"Madison Square, Manhattan, New York City, New York, USA",3541,3486
22 December 1995 (USA),Malta,3542,3487
8 December 1987 (UK),"Rawlins, Wyoming, USA",3543,3488
25 September 2012 (USA),"Lake Ariel, Pennsylvania, USA",3544,3489
24 May 1991 (USA),"American Falls, Niagara Falls, New York, USA",3545,3490
13 January 2017 (USA),,3546,3491
17 February 2017 (USA),,3547,3492
4 April 2008 (USA),"Anderson, South Carolina, USA",3548,3493
2 August 2002 (UK),"Monasterio de Piedra, Nuévalos, Zaragoza, Aragón, Spain",3549,3494
26 April 2013 (USA),"Stamford, Connecticut, USA",3550,3495
24 September 2010 (USA),"Burbank, California, USA",3551,3496
28 January 2011 (USA),"Los Angeles, California, USA",3552,3497
18 July 2003 (USA),"Birchmount Collegiate, Toronto, Ontario, Canada",3553,3498
2016 (USA),,3554,457
2017 (USA),,3555,106
2015 (USA),,3556,1043
15 August 2003 (USA),"Central Park, Manhattan, New York City, New York, USA",3557,3499
20 June 2003 (USA),"Boston, Massachusetts, USA",3558,3500
,,3559,48
2016 (USA),"Austin, Texas, USA",3560,3501
10 October 2015 (USA),"Cincinnati, Ohio, USA",3561,3502
18 December 1937 (USA),"General Service Studios - 1040 N. Las Palmas, Hollywood, Los Angeles, California, USA",3562,3503
"Apr 8, 2011 Limited","Long Island, New York, USA",3563,3504
16 September 2005 (USA),"Wake Forest University - 1834 Wake Forest Road, Winston-Salem, North Carolina, USA",3564,3505
16 July 2009 (Portugal),"Vancouver, British Columbia, Canada",3565,3506
8 January 2010 (USA),"Carton House, Maynooth, County Kildare, Ireland",3566,3507
6 May 2011 (USA),"Long Island, New York, USA",3567,3508
30 May 2008 (USA),"Taj Lake Palace, Lake Pichola, Udaipur, Rajasthan, India",3568,3509
17 April 2009 (USA),"Albuquerque, New Mexico, USA",3569,3510
,,3570,48
27 July 2007 (USA),"Brooklyn Heights, Brooklyn, New York City, New York, USA",3571,3511
18 October 2014 (USA),"Kingston High School, 403 Broadway, Kingston, New York, USA",3572,3512
24 August 2007 (USA),"Central Park, Manhattan, New York City, New York, USA",3573,3513
17 July 2015 (USA),,3574,3514
4 May 2012 (USA),"Urbania, Lower Garden District, New Orleans, Louisiana, USA",3575,3515
7 February 2013 (Russia),"Los Angeles, California, USA",3576,3516
24 June 2014 (USA),"Brooklyn, New York City, New York, USA",3577,3517
26 September 2014 (USA),"New York City, New York, USA",3578,3518
December 2015 (USA),"Double Door - 1572 N. Milwaukee Avenue, West Town, Chicago, Illinois, USA",3579,3519
2016 (USA),"New Orleans, Louisiana, USA",3580,3520
16 September 2005 (USA),"Abandoned Planet, 518 Valencia St, San Francisco, California, USA",3581,3521
25 April 2015 (USA),Bulgaria,3582,3522
31 March 1995 (USA),"Coal Mine Canyon, Tuba City, Arizona, USA",3583,3523
7 October 2005 (USA),"Times Square, Manhattan, New York City, New York, USA",3584,3524
12 January 2015 (Japan),"Clearwater, Florida, USA",3585,3525
10 July 2009 (UK),"Connecticut, USA",3586,3526
30 September 2011 (USA),"Boston, Massachusetts, USA",3587,3527
2 July 2010 (Spain),"Los Angeles, California, USA",3588,3528
"Oct 13, 2006 Wide","Cambridge, Ontario, Canada",3589,3529
28 May 2013 (USA),"Lower East Side, Manhattan, New York City, New York, USA",3590,3530
9 May 1997 (USA),"Treasure Island, San Francisco Bay, California, USA",3591,3531
12 November 2005 (USA),,3592,3532
31 January 1986 (USA),Canada,3593,3533
25 December 1998 (USA),"Asheville, North Carolina, USA",3594,3534
17 December 1999 (USA),"Alameda, California, USA",3595,3535
March 1978 (USA),"22700 Chase Place, Canoga Park, Los Angeles, California, USA",3596,3536
8 March 1978 (USA),,3597,3537
12 July 1995 (USA),"Los Medanos Hospital, Pittsburg, California, USA",3598,3538
22 June 1977 (USA),,3599,1492
9 August 1996 (USA),"Mare Island, Vallejo, California, USA",3600,3539
10 November 2010 (USA),"Schiller's Liquor Bar, 131 Rivington Street, New York City, New York, USA",3601,3540
9 March 1990 (USA),"Play's House, 2895 West 15th Street, Los Angeles, California, USA",3602,3541
12 January 1994 (USA),,3603,3542
"Oct 23, 1991 Wide","Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California, USA",3604,3543
5 June 1992 (USA),"Los Angeles, California, USA",3605,3544
2015 (USA),"Fischer, Texas, USA",3606,3545
25 December 2005 (USA),"717 S Hudson Ave, Pasadena, California, USA",3607,3546
28 March 2008 (USA),"Burnaby, British Columbia, Canada",3608,3547
26 September 2008 (USA),"Alsip, Illinois, USA",3609,3548
14 August 2009 (USA),"Chicago, Illinois, USA",3610,3549
26 December 2006 (UK),"Shepperton Studios, Shepperton, Surrey, England, UK",3611,3550
16 October 2004 (USA),"Denver, Colorado, USA",3612,3551
15 April 2016 (USA),,3613,3552
25 December 2015 (USA),"Hall in Tirol, Tirol, Austria",3614,3553
9 October 2015 (USA),,3615,3554
4 December 2015 (USA),New Zealand,3616,3555
18 March 2016 (USA),"Atlanta, Georgia, USA",3617,3556
11 December 2015 (USA),"London, England, UK",3618,3557
15 January 2016 (USA),"Macon, Georgia, USA",3619,3558
26 February 2016 (USA),,3620,3559
17 July 2015 (USA),"Los Angeles, California, USA",3621,3560
21 August 2015 (USA),,3622,3561
25 January 2015 (USA),"California, USA",3623,3562
25 September 2015 (USA),"New York City, New York, USA",3624,3563
25 September 2015 (USA),"Poienari, Arges County, Romania",3625,3564
12 November 2015 (Brazil),"Boston, Massachusetts, USA",3626,3565
29 May 2015 (USA),"Austin, Texas, USA",3627,3566
15 July 2011 (USA),,3628,3567
11 February 2000 (USA),,3629,3568
4 September 2015 (USA),,3630,273
21 March 2003 (USA),,3631,3569
17 May 2015 (France),,3632,3570
17 July 2015 (USA),"Rhode Island, USA",3633,3571
24 July 2015 (USA),,3634,3572
25 September 2015 (USA),"Montreal, Quebec, Canada",3635,3573
9 June 2017 (USA),,3636,3574
2016 (USA),,3637,457
15 August 1946 (USA),,3638,3575
17 October 1995 (USA),"South Carolina, USA",3639,3576
1991 (Hungary),"Columbia, South Carolina, USA",3640,3577
"Oct 23, 2015 Wide","Pittsburgh, Pennsylvania, USA",3641,3578
23 October 2015 (USA),"San Francisco, California, USA",3642,3579
16 October 2015 (USA),Ghana,3643,3580
27 November 2015 (USA),"Copenhagen, Denmark",3644,3581
9 November 2001 (USA),"Bank of America World Headquarters Building - 100 North Tryon Street, Charlotte, North Carolina, USA",3645,3582
8 April 2016 (USA),"Coney Island, Brooklyn, New York City, New York, USA",3646,3583
20 November 2015 (USA),"Cincinnati, Ohio, USA",3647,3584
30 October 2015 (USA),"Tulane University - 6823 St. Charles Avenue, New Orleans, Louisiana, USA",3648,3585
7 August 2014 (Hungary),"Ouarzazate, Morocco",3649,3586
2 October 2015 (USA),USA,3650,3587
16 October 2015 (USA),"Sydney, New South Wales, Australia",3651,3588
14 September 2015 (Canada),"New York City, New York, USA",3652,3589
4 September 2015 (USA),"New York City, New York, USA",3653,3590
16 October 2015 (USA),"Conyers, Georgia, USA",3654,3591
10 July 2015 (USA),Germany,3655,3592
15 January 2016 (USA),Malta,3656,3593
16 October 2015 (USA),"Glienicker Brücke, Potsdam, Germany",3657,3594
31 October 2016 (USA),,3658,3595
12 December 1952 (USA),,3659,3596
18 September 2015 (USA),"New Mexico, USA",3660,3597
25 May 2015 (USA),Monaco,3661,3598
9 October 2015 (USA),"Santiago de Chile, Chile",3662,3599
22 March 2013 (USA),"Bossier City, Louisiana, USA",3663,3600
30 May 2016 (USA),"Mobile, Alabama, USA",3664,3601
30 June 2015 (USA),,3665,3602
2016 (USA),Morocco,3666,3603
2 October 2015 (USA),"Alberta, Canada",3667,3604
20 December 2013 (USA),"Disneyland Park, Disneyland Resort - 1600 S. Disneyland Drive, Anaheim, California, USA",3668,3605
20 January 2012 (USA),"Central Park, Manhattan, New York City, New York, USA",3669,3606
4 October 1996 (USA),"Orpheum Theater 842 S. Broadway, Los Angeles, California, USA",3670,3607
25 June 1993 (USA),"1517 Pike Place, Seattle, Washington, USA",3671,3608
21 December 2007 (USA),"Downey Studios - 12214 Lakewood Boulevard, Downey, California, USA",3672,3609
10 April 2009 (USA),"Las Vegas, Nevada, USA",3673,3610
18 June 2004 (USA),"Lexington Avenue, Manhattan, New York City, New York, USA",3674,3611
15 March 2013 (USA),"Los Angeles, California, USA",3675,619
13 April 2007 (USA),"Manhattan, New York City, New York, USA",3676,3612
18 October 2011 (USA),"Los Angeles, California, USA",3677,3613
26 February 2016 (USA),,3678,3559
"Jun 1, 1993 Wide",Philippines,3679,3614
2 September 2011 (USA),"Millennium Studios- 300 Douglas Street, Shreveport, Louisiana, USA",3680,3615
19 October 2007 (USA),"Kitsilano, Vancouver, British Columbia, Canada",3681,3616
13 September 1996 (USA),"Brentwood, Los Angeles, California, USA",3682,3617
10 November 2011 (South Korea),"Des Moines, Iowa, USA",3683,3618
25 December 2013 (USA),"Los Angeles, California, USA",3684,3619
10 April 2015 (USA),"Perth, Western Australia, Australia",3685,3620
13 February 2015 (USA),"New York City, New York, USA",3686,3621
23 August 2013 (USA),"Welwyn Garden City, Hertfordshire, England, UK",3687,3622
19 September 2014 (USA),"New York City, New York, USA",3688,3623
28 March 2008 (USA),"Cannons Health Club, Endell Street, Covent Garden, London, England, UK",3689,3624
5 January 2007 (USA),"Beaverton, Oregon, USA",3690,3625
26 June 2009 (USA),"Arizona, USA",3691,3626
